TARGET_CLASS,attempt,criterion,Coverage,Total_Goals,BranchCoverage,LineCoverage,CBranchCoverage,Covered_Goals,Tests_Executed
edu.stanford.nlp.pipeline.LabeledChunkIdentifier,1,BRANCH;LINE;CBRANCH,0.7506561679790026,381,0.9712230215827338,0.9514563106796117,0.381294964028777,286,64
edu.stanford.nlp.pipeline.LabeledChunkIdentifier,3,BRANCH;LINE;CBRANCH,0.7506561679790026,381,0.9712230215827338,0.9514563106796117,0.381294964028777,286,72
edu.stanford.nlp.pipeline.LabeledChunkIdentifier,4,BRANCH;LINE;CBRANCH,0.7506561679790026,381,0.9712230215827338,0.9514563106796117,0.381294964028777,286,64
edu.stanford.nlp.pipeline.LabeledChunkIdentifier,5,BRANCH;LINE;CBRANCH,0.7506561679790026,381,0.9712230215827338,0.9514563106796117,0.381294964028777,286,69
edu.stanford.nlp.pipeline.LabeledChunkIdentifier,2,BRANCH;LINE;CBRANCH,0.7506561679790026,381,0.9712230215827338,0.9514563106796117,0.381294964028777,286,63
edu.stanford.nlp.pipeline.ParserAnnotator,3,BRANCH;LINE;CBRANCH,0.17073170731707318,369,0.08333333333333333,0.24378109452736318,0.08333333333333333,63,10
edu.stanford.nlp.pipeline.ParserAnnotator,4,BRANCH;LINE;CBRANCH,0.17073170731707318,369,0.08333333333333333,0.24378109452736318,0.08333333333333333,63,8
edu.stanford.nlp.pipeline.ParserAnnotator,5,BRANCH;LINE;CBRANCH,0.17073170731707318,369,0.08333333333333333,0.24378109452736318,0.08333333333333333,63,8
edu.stanford.nlp.pipeline.ParserAnnotator,2,BRANCH;LINE;CBRANCH,0.17073170731707318,369,0.08333333333333333,0.24378109452736318,0.08333333333333333,63,7
edu.stanford.nlp.pipeline.ParserAnnotator,1,BRANCH;LINE;CBRANCH,0.17073170731707318,369,0.08333333333333333,0.24378109452736318,0.08333333333333333,63,7
edu.stanford.nlp.process.PTBTokenizer,1,BRANCH;LINE;CBRANCH,0.6333973128598849,521,0.5815602836879432,0.7154811715481172,0.5460992907801419,330,44
